id;nombres;apellidos;correo;nro_celular;fecha_contrato;salario;comision_porcentaje
1;overriding Account bandwidth;Artesanal;overriding;Pequeño;2023-02-15T20:52:05;60312;56071
2;Hungria Director Rupiah;objetos Fantástico;Palladium bleeding-edge;Madrid Bangladesh Borders;2023-02-15T20:02:18;37023;85068
3;Aragón;Productor Gris;Comunidad XSS Granito;SSL;2023-02-16T10:24:24;33379;86035
4;array Videojuegos;Refinado;la enhance;sistémica;2023-02-15T23:57:49;53374;36812
5;Implementado Bicicleta Gris;Guapo Avon Morado;mano;Dinánmico Informática Normas;2023-02-16T13:11:00;89419;98928
6;Producto copying;Rioja deliver Barbados;holística Avon;Agente Algodón dynamic;2023-02-16T13:29:32;34218;25126
7;Madera Compatible;Loan Práctico quantify;Granito Palladium;functionalities Chalet;2023-02-16T07:41:48;46301;81024
8;Bedfordshire;Savings Grupo Portugal;alarm encriptar Rojo;Madera web;2023-02-15T20:32:03;13403;51494
9;extensible;Producto multitarea synthesize;Morado Marketing;Partida;2023-02-16T07:01:04;20493;92441
10;viral payment Bebes;withdrawal Seychelles Optimizado;Acero;Torrente Queso;2023-02-16T14:14:11;24887;29416
